get headers list|public java.util.List<com.google.privacy.dlp.v2.FieldId> () { return headers_; }
mode|public static int (File f) throws PosixException { if (Functions.isWindows()) return -1; try { if (Util.NATIVE_CHMOD_MODE) { return PosixAPI.jnr().stat(f.getPath()).mode(); } else { return Util.permissionsToMode(Files.getPosixFilePermissions(fileToPath(f))); } } catch (IOException cause) { PosixException e = new PosixException("Unable to get file permissions", null); e.initCause(cause); throw e; } }
read|public static StreamSegmentReadResult (SegmentProperties segmentInfo, long startOffset, int maxReadLength, int readBlockSize, ReadOnlyStorage storage) { Exceptions.checkArgument(startOffset >= 0, "startOffset", "startOffset must be a non-negative number."); Exceptions.checkArgument(maxReadLength >= 0, "maxReadLength", "maxReadLength must be a non-negative number."); Preconditions.checkNotNull(segmentInfo, "segmentInfo"); Preconditions.checkNotNull(storage, "storage"); String traceId = String.format("Read[%s]", segmentInfo.getName()); return new StreamSegmentReadResult(startOffset, maxReadLength, new SegmentReader(segmentInfo, null, readBlockSize, storage), traceId); }
calculate truncation offset|long (SegmentProperties info, long highestCopiedOffset) { long truncateOffset = -1; if (highestCopiedOffset > 0) { // Due to the nature of compaction (all entries are copied in order of their original versions), if we encounter // any copied Table Entries then the highest explicit version defined on any of them is where we can truncate. truncateOffset = highestCopiedOffset; } else if (this.indexReader.getLastIndexedOffset(info) >= info.getLength()) { // Did not encounter any copied entries. If we were able to index the whole segment, then we should be safe // to truncate at wherever the compaction last finished. truncateOffset = this.indexReader.getCompactionOffset(info); } if (truncateOffset <= info.getStartOffset()) { // The segment is already truncated at the compaction offset; no need for more. truncateOffset = -1; } return truncateOffset; }
main|public static void (final String[] args) throws Exception { // Redirect all std out and err messages into log4j StdOutErrRedirect.redirectOutAndErrToLog(); logger.info("Starting Jetty Azkaban Executor..."); if (System.getSecurityManager() == null) { Policy.setPolicy(new Policy() { @Override public boolean implies(final ProtectionDomain domain, final Permission permission) { // allow all return true; } }); System.setSecurityManager(new SecurityManager()); } final Props props = AzkabanServer.loadProps(args); if (props == null) { logger.error("Azkaban Properties not loaded."); logger.error("Exiting Azkaban Executor Server..."); return; } /* Initialize Guice Injector */ final Injector injector = Guice.createInjector(new AzkabanCommonModule(props), new AzkabanExecServerModule()); SERVICE_PROVIDER.setInjector(injector); launch(injector.getInstance(AzkabanExecutorServer.class)); }
stop|protected void (String[] args) throws Exception { LOG.info("Running 'stop-with-savepoint' command."); final Options commandOptions = CliFrontendParser.getStopCommandOptions(); final Options commandLineOptions = CliFrontendParser.mergeOptions(commandOptions, customCommandLineOptions); final CommandLine commandLine = CliFrontendParser.parse(commandLineOptions, args, false); final StopOptions stopOptions = new StopOptions(commandLine); if (stopOptions.isPrintHelp()) { CliFrontendParser.printHelpForStop(customCommandLines); return; } final String[] cleanedArgs = stopOptions.getArgs(); final String targetDirectory = stopOptions.hasSavepointFlag() && cleanedArgs.length > 0 ? stopOptions.getTargetDirectory() : // the default savepoint location is going to be used in this case. null; final JobID jobId = cleanedArgs.length != 0 ? parseJobId(cleanedArgs[0]) : parseJobId(stopOptions.getTargetDirectory()); final boolean advanceToEndOfEventTime = stopOptions.shouldAdvanceToEndOfEventTime(); logAndSysout((advanceToEndOfEventTime ? "Draining job " : "Suspending job ") + "\"" + jobId + "\" with a savepoint."); final CustomCommandLine<?> activeCommandLine = getActiveCustomCommandLine(commandLine); runClusterAction(activeCommandLine, commandLine, clusterClient -> { try { clusterClient.stopWithSavepoint(jobId, advanceToEndOfEventTime, targetDirectory); } catch (Exception e) { throw new FlinkException("Could not stop with a savepoint job \"" + jobId + "\".", e); } }); logAndSysout((advanceToEndOfEventTime ? "Drained job " : "Suspended job ") + "\"" + jobId + "\" with a savepoint."); }
insert stop natures|public static void (String key, String... filterNatures) { StopRecognition fr = get(key); fr.insertStopNatures(filterNatures); }
for segment|static SegmentChunk (String segmentName, long startOffset) { return new SegmentChunk(StreamSegmentNameUtils.getSegmentChunkName(segmentName, startOffset), startOffset); }
get chk proxy only|private JCheckBox () { if (proxyOnlyCheckbox == null) { proxyOnlyCheckbox = new JCheckBox(); proxyOnlyCheckbox.setText(Constant.messages.getString("httpsessions.options.label.proxyOnly")); } return proxyOnlyCheckbox; }
handle|static void (ChannelHandlerContext ctx, Http2Connection connection, Http2FrameListener listener, FullHttpMessage message) throws Http2Exception { try { int streamId = getStreamId(connection, message.headers()); Http2Stream stream = connection.stream(streamId); if (stream == null) { stream = connection.remote().createStream(streamId, false); } message.headers().set(HttpConversionUtil.ExtensionHeaderNames.SCHEME.text(), HttpScheme.HTTP.name()); Http2Headers messageHeaders = HttpConversionUtil.toHttp2Headers(message, true); boolean hasContent = message.content().isReadable(); boolean hasTrailers = !message.trailingHeaders().isEmpty(); listener.onHeadersRead(ctx, streamId, messageHeaders, 0, !(hasContent || hasTrailers)); if (hasContent) { listener.onDataRead(ctx, streamId, message.content(), 0, !hasTrailers); } if (hasTrailers) { Http2Headers headers = HttpConversionUtil.toHttp2Headers(message.trailingHeaders(), true); listener.onHeadersRead(ctx, streamId, headers, 0, true); } stream.closeRemoteSide(); } finally { message.release(); } }
get pairwise edge intersection|private DataSet<Edge<K, EV>> (DataSet<Edge<K, EV>> edges) { return this.getEdges().coGroup(edges).where(0, 1, 2).equalTo(0, 1, 2).with(new MatchingEdgeReducer<>()).name("Intersect edges"); }
start element|@Override public void (String uri, String localName, String qName, Attributes attributes) throws SAXException { attempt(); // if we still haven't found it at the first start element, then we are not going to find it. throw new Eureka(null); }
merge object|public static Object (Object config, Class clazz) { merge(config); return convertMapToObj((Map<String, Object>) config, clazz); }
attempt|private void () throws Eureka { if (loc == null) return; if (loc instanceof Locator2) { Locator2 loc2 = (Locator2) loc; String e = loc2.getEncoding(); if (e != null) throw new Eureka(e); } }
save features|private void (List<Feature> features, FeatureCollector collector) { features.forEach( f -> { f.setCollectorId(collector.getId()); Feature existing = featureRepository.findByCollectorIdAndSIdAndSTeamID(collector.getId(), f.getsId(), f.getsTeamID()); if (existing != null) { f.setId(existing.getId()); } featureRepository.save(f); }); }
remove|public ByteBuf (int bytes, ChannelPromise aggregatePromise) { return remove(channel.alloc(), bytes, aggregatePromise); }
remove all|public <T> Iterable<T> (Key<T> key) { if (isEmpty()) { return null; } int writeIdx = 0; int readIdx = 0; List<T> ret = null; for (; readIdx < size; readIdx++) { if (bytesEqual(key.asciiName(), name(readIdx))) { ret = ret != null ? ret : new ArrayList<T>(); ret.add(key.parseBytes(value(readIdx))); continue; } name(writeIdx, name(readIdx)); value(writeIdx, value(readIdx)); writeIdx++; } int newSize = writeIdx; // Multiply by two since namesAndValues is interleaved. Arrays.fill(namesAndValues, writeIdx * 2, len(), null); size = newSize; return ret; }
notify new message|public void (Plugin plugin, HttpMessage message) { parentScanner.notifyNewMessage(message); notifyNewMessage(plugin); }
create has service check decision state|protected void (final Flow flow) { createDecisionState(flow, CasWebflowConstants.STATE_ID_HAS_SERVICE_CHECK, "flowScope.service != null", CasWebflowConstants.STATE_ID_RENEW_REQUEST_CHECK, CasWebflowConstants.STATE_ID_VIEW_GENERIC_LOGIN_SUCCESS); }
set value|public void (CharSequence value, int offset, int len) { checkNotNull(value); if (offset < 0 || len < 0 || offset > value.length() - len) { throw new IndexOutOfBoundsException("offset: " + offset + " len: " + len + " value.len: " + len); } ensureSize(len); this.len = len; for (int i = 0; i < len; i++) { this.value[i] = value.charAt(offset + i); } this.hashCode = 0; }
preflight response headers|public HttpHeaders () { if (preflightHeaders.isEmpty()) { return EmptyHttpHeaders.INSTANCE; } final HttpHeaders preflightHeaders = new DefaultHttpHeaders(); for (Entry<CharSequence, Callable<?>> entry : this.preflightHeaders.entrySet()) { final Object value = getValue(entry.getValue()); if (value instanceof Iterable) { preflightHeaders.add(entry.getKey(), (Iterable<?>) value); } else { preflightHeaders.add(entry.getKey(), value); } } return preflightHeaders; }
write message embedded web server ip port|private void (Socket s) throws Exception { writeType(s, TYPE_EMBEDDED_WEB_SERVER_IP_PORT); writeString(s, _embeddedWebServerIp); writeInt(s, _embeddedWebServerPort); }
exec|public INDArray (INDArray a, INDArray b, INDArray result) { a = transposeIfReq(transposeA, a); b = transposeIfReq(transposeB, b); if (result == null) { INDArray ret = a.mmul(b); return transposeIfReq(transposeResult, ret); } else { if (!transposeResult) { return a.mmuli(b, result); } else { return a.mmuli(b, result).transpose(); } } }
allocate single slot|private CompletableFuture<LogicalSlot> (SlotRequestId slotRequestId, SlotProfile slotProfile, boolean allowQueuedScheduling, Time allocationTimeout) { Optional<SlotAndLocality> slotAndLocality = tryAllocateFromAvailable(slotRequestId, slotProfile); if (slotAndLocality.isPresent()) { // already successful from available try { return CompletableFuture.completedFuture(completeAllocationByAssigningPayload(slotRequestId, slotAndLocality.get())); } catch (FlinkException e) { return FutureUtils.completedExceptionally(e); } } else if (allowQueuedScheduling) { // we allocate by requesting a new slot return slotPool.requestNewAllocatedSlot(slotRequestId, slotProfile.getResourceProfile(), allocationTimeout).thenApply((PhysicalSlot allocatedSlot) -> { try { return completeAllocationByAssigningPayload(slotRequestId, new SlotAndLocality(allocatedSlot, Locality.UNKNOWN)); } catch (FlinkException e) { throw new CompletionException(e); } }); } else { // failed to allocate return FutureUtils.completedExceptionally(new NoResourceAvailableException("Could not allocate a simple slot for " + slotRequestId + '.')); } }
get redirect response|public static Response (final String url, final Map<String, String> parameters) { val builder = new StringBuilder(parameters.size() * RESPONSE_INITIAL_CAPACITY); val sanitizedUrl = sanitizeUrl(url); LOGGER.debug("Sanitized URL for redirect response is [{}]", sanitizedUrl); val fragmentSplit = Splitter.on("#").splitToList(sanitizedUrl); builder.append(fragmentSplit.get(0)); val params = parameters.entrySet().stream().filter( entry -> entry.getValue() != null).map( entry -> { try { return String.join("=", entry.getKey(), EncodingUtils.urlEncode(entry.getValue())); } catch (final Exception e) { return String.join("=", entry.getKey(), entry.getValue()); } }).collect(Collectors.joining("&")); if (!(params == null || params.isEmpty())) { builder.append(url.contains("?") ? "&" : "?"); builder.append(params); } if (fragmentSplit.size() > 1) { builder.append('#'); builder.append(fragmentSplit.get(1)); } val urlRedirect = builder.toString(); LOGGER.debug("Final redirect response is [{}]", urlRedirect); return new DefaultResponse(ResponseType.REDIRECT, urlRedirect, parameters); }
implies|@Override public boolean (final ProtectionDomain domain, final Permission permission) { // allow all return true; }
